system_name,station_name
1 Hydrae,Kepler's Inheritance
1 Hydrae,Weitz's Folly
1 Kappa Cygni,Kinsey Ring
1 Kappa Cygni,Hauck Enterprise
1 Kappa Cygni,Wohler Port
1 Kappa Cygni,Kirtley's Inheritance
10 Arietis,Morgan Terminal
10 Arietis,Hoyle's Folly
10 G. Canis Majoris,Dupuy de Lome Plant
10 G. Canis Majoris,McAuley's Progress
10 Iota Cygni,Euler Ring
10 Iota Cygni,Onnes Hub
10 Iota Cygni,Parise Hub
10 Iota Cygni,Pauli's Folly
10 Kappa Pegasi,Bondar Hub
10 Kappa Pegasi,Morin Dock
10 Kappa Pegasi,Nicollier Terminal
10 Kappa Pegasi,So-yeon Dock
10 Kappa Pegasi,Needham Dock
10 Kappa Pegasi,Herzfeld Dock
10 Rho-3 Eridani,Brandenstein Vision
10 Serpentis,Chaviano Freeport
10 Tauri,Clairaut City
10 Tauri,Gaultier de Varennes Enterprise
109 Piscium,Ising Dock
11 Aquilae,Nielsen Hub
11 Aquilae,Efremov Camp
11 Aquilae,Emshwiller Landing
11 Cephei,Bisson Landing
110 Herculis,Jahn Hangar
110 Herculis,Stirling Vision
111 Tauri,Samokutyayev Orbital
12 Andromedae,Cauchy Orbital
12 Andromedae,Patterson Hangar
12 Aquarii,Doctorow Settlement
12 Aquarii,Sturgeon Platform
12 Gamma-1 Delphini,Al-Battani Orbital
12 Gamma-1 Delphini,Walheim Installation
12 Lambda Coronae Borealis,Tucker City
12 Lambda Coronae Borealis,Doctorow Station
12 Persei,Wundt Terminal
12 Persei,Kovalevsky Orbital
13 Lambda Crateris,Morukov Dock
13 Lambda Crateris,Phillips Hub
13 Lambda Crateris,Furrer Hub
13 Orionis,Berezin's Progress
132 G. Aquarii,Chretien Ring
132 G. Aquarii,Grabe Gateway
133 G. Canis Major,Dorsett Horizons
133 G. Canis Major,Maxwell Terminal
14 Vulpeculae,Gurragchaa Terminal
15 Delphini,Johnson Vision
15 f Leonis,Siodmak Holdings
157 G. Aquarii,Scheerbart's Progress
16 c Ursae Majoris,Daimler Station
16 Cephei,Song Settlement
16 Eta Sagittae,Zettel Refinery
16 Piscium,Hirase Platform
16 Piscium,Haise Settlement
16 Piscium,Khan Refinery
16 Piscium,Rushworth Beacon
17 Cygni,Ahern Holdings
18 Aquarii,Richards Terminal
19 Aquilae,Chretien Port
19 Aquilae,Scobee Landing
19 Leonis Minoris,Moffitt Terminal
19 Leonis Minoris,Beaumont Terminal
19 Leonis Minoris,Atwood Terminal
19 Leonis Minoris,Huxley Port
19 Leonis Minoris,Arnason Hub
19 Leonis Minoris,Mitchison Orbital
19 Leonis Minoris,Litke City
19 Leonis Minoris,Alexander Terminal
19 Xi Coronae Borealis,Shawl Platform
19 Xi Coronae Borealis,Shepherd Port
19 Xi Coronae Borealis,Peary Refinery
2 Omega Leonis,Macquorn Rankine Settlement
20 Leonis Minoris,Poncelet Terminal
20 Ophiuchi,Artsebarsky Gateway
20 Ophiuchi,Chargaff Port
21 Eta Cygni,Fincke Landing
23 Andromedae,Amis Orbital
23 Andromedae,Tshang Hub
23 Andromedae,Vonnegut Hub
23 Andromedae,Lebesgue Orbital
23 Andromedae,Andersson Relay
23 Arietis,Lerner Landing
23 Arietis,Stefansson Settlement
23 h Ursae Majoris,Ellern Station
239 G. Aquarii,Schottky Enterprise
24 Canum Venaticorum,Elcano Platform
25 Arietis,Baker Orbital
25 Arietis,Kwolek Platform
25 Arietis,Lazutkin Orbital
25 Arietis,Carrasco Settlement
25 Nu-2 Draconis,Avicenna City
26 Alpha Monocerotis,Hill Holdings
26 Draconis,Veach Plant
26 Ophiuchi,Bogdanov Prospect
26 Ophiuchi,Greenland's Progress
27 b1 Cygni,Sharma Platform
28 Omega Piscium,Hassanein Dock
29 Arietis,Buckland Station
29 Arietis,Coats Station
29 Ceti,Crown Port
3 Beta Lacertae,Bixby's Folly
3 Upsilon Ophiuchi,Hendel Station
30 Ceti,Schiaparelli Vision
30 Ceti,Qureshi Laboratory
30 Serpentis,Chios' Folly
31 Aquilae,Xuanzang's Folly
31 Arietis,Quimby Platform
32 Mu Serpentis,Herodotus Dock
34 Pegasi,Weiss Orbital
34 Pegasi,Webb Port
34 Pegasi,Morris Vision
34 Pegasi,Williams City
34 Pegasi,Ozanne Vision
34 Pegasi,Rayhan al-Biruni Orbital
35 Draconis,Conway Dock
35 Draconis,Normand Enterprise
36 Doradus,Gardner Dock
36 Doradus,Shargin Dock
36 Doradus,Guidoni Port
36 Doradus,Al-Jazari City
36 Doradus,Hadfield Station
36 Doradus,Stephenson Terminal
36 Doradus,Dyson Terminal
36 Doradus,Tryggvason Base
36 Ophiuchi,Katzenstein Dock
36 Ophiuchi,Weinbaum City
36 Ophiuchi,Yolen Works
37 Lyncis,Rorschach Ring
38 Leonis Minoris,Murphy City
38 Leonis Minoris,Maine Landing
38 Leonis Minoris,Grassmann Works
38 Virginis,Balandin Hub
38 Virginis,Bamford Ring
38 Virginis,Burnell Colony
39 b Draconis,Alvares Settlement
39 Herculis,Tudela City
39 Leonis,Shumil Terminal
39 Leonis,Menezes Prospect
4 A1 Virginis,Nehsi Prospect
4 Eridani,Garfinkle Landing
40 Ceti,Illy Port
40 Ceti,Pailes Enterprise
40 Draconis,Shelley Settlement
40 Leonis,Goeschke Horizons
41 Gamma Serpentis,Kidman Settlement
41 Gamma Serpentis,Bolotov Port
41 Gamma Serpentis,Boe Depot
42 Capricorni,Ross City
44 b Ophiuchi,Feustel Gateway
44 b Ophiuchi,Rotsler Enterprise
44 chi Draconis,Steinmuller City
44 Eta Librae,Moisuc Platform
44 Rho-1 Sagittarii,Davy Settlement
45 c Bootis,Ride Hub
45 d Ophiuchi,Dunn Dock
45 d Ophiuchi,Arber Port
45 d Ophiuchi,Hire Orbital
45 d Ophiuchi,Tito Beacon
45 d Ophiuchi,Oltion Works
47 Arietis,Crown Station
47 Ursae Majoris,Nordenskiold Landing
47 Ursae Majoris,Marlowe's Progress
48 Tauri,Runco Landing
48 Tauri,Surayev Beacon
49 d Orionis,Gold's Folly
5 G. Apodis,Boyle Refinery
5 G. Apodis,Matteucci Colony
5 G. Apodis,Savery Hub
5 G. Capricorni,Mastracchio Orbital
5 G. Capricorni,Euclid Dock
5 G. Capricorni,Deere Dock
5 G. Capricorni,Moore Beacon
5 Gamma Equulei,Mitropoulos Dock
5 Puppis,Mayer Terminal
5 Puppis,Aleksandrov Port
5 Puppis,Curie Enterprise
50 Omega Tauri,Jernigan Prospect
50 Upsilon-1 Eridani,Dzhanibekov City
50 Upsilon-1 Eridani,Dzhanibekov Refinery
54 G. Antlia,Alas Dock
54 G. Antlia,Furrer City
54 G. Antlia,Hooke Terminal
54 G. Antlia,Hopkins Dock
54 Piscium,Rushd Terminal
54 Piscium,Ampere Enterprise
55 Virginis,Gemar City
55 Virginis,Somerset Station
55 Virginis,Durrance City
55 Virginis,Macarthur Dock
55 Virginis,vo Terminal
55 Virginis,Qureshi Hub
55 Xi Serpentis,Bridges Landing
55 Xi Serpentis,Mendeleev Installation
57 Virginis,Carter Vision
57 Virginis,Reisman Station
57 Virginis,Coblentz's Progress
57 Zeta Serpentis,Levi-Montalcini Orbital
57 Zeta Serpentis,Wilson Hub
57 Zeta Serpentis,Hertz Station
57 Zeta Serpentis,Gerst Dock
57 Zeta Serpentis,Parmitano City
57 Zeta Serpentis,Parise Terminal
57 Zeta Serpentis,Feoktistov Dock
58 Eridani,Ochoa Station
58 Eridani,Kelly Enterprise
58 Eridani,Ising Port
58 Eridani,Vinci Depot
58 Eridani,Williams' Progress
59 Eridani,Guidoni Dock
59 Eridani,Clement Ring
59 Eridani,Collins Settlement
59 Eridani,Flade Plant
59 Virginis,Landsteiner Terminal
59 Virginis,Nourse Plant
6 Ceti,Lindbohm Orbital
6 Ceti,Phillips Orbital
6 Ceti,Serrao Orbital
60 b Leonis,Flade Port
61 Cygni,Broglie Terminal
61 Virginis,Crown Colony
61 Virginis,Furukawa Port
61 Virginis,Margulis Depot
62 Gamma Ophiuchi,Weitz Station
62 Ursae Majoris,Gurney Station
62 Ursae Majoris,Akers Hub
62 Ursae Majoris,Curbeam Dock
62 Ursae Majoris,Bolotov City
62 Ursae Majoris,Melnick Hub
62 Ursae Majoris,Armstrong Orbital
62 Ursae Majoris,Low City
62 Ursae Majoris,Gwynn's Progress
63 Eridani,Galois' Inheritance
63 G. Capricorni,Hennepin Lab
64 Piscium,Evans Settlement
64 Piscium,Barry Dock
64 Piscium,Blodgett Port
